Timestamp,CPU %,Memory Usage,Memory Limit
2025-07-06 02:13:51.3N,100.94%,107.1MiB,1GiB,
2025-07-06 02:13:53.3N,100.67%,154.5MiB,1GiB,
2025-07-06 02:13:55.3N,100.94%,168.5MiB,1GiB,
2025-07-06 02:13:57.3N,99.37%,168.2MiB,1GiB,
2025-07-06 02:13:59.3N,99.13%,185.8MiB,1GiB,
2025-07-06 02:14:01.3N,95.95%,203.7MiB,1GiB,
2025-07-06 02:14:03.3N,100.20%,193.4MiB,1GiB,
2025-07-06 02:14:05.3N,99.97%,190.1MiB,1GiB,
2025-07-06 02:14:07.3N,99.99%,192.8MiB,1GiB,
2025-07-06 02:14:09.3N,99.14%,193.3MiB,1GiB,
2025-07-06 02:14:11.3N,99.87%,195.3MiB,1GiB,
2025-07-06 02:14:13.3N,99.84%,191.4MiB,1GiB,
2025-07-06 02:14:15.3N,99.30%,191.2MiB,1GiB,
2025-07-06 02:14:17.3N,98.65%,193.1MiB,1GiB,
2025-07-06 02:14:19.3N,99.45%,191.3MiB,1GiB,
2025-07-06 02:14:21.3N,99.82%,201.2MiB,1GiB,
2025-07-06 02:14:23.3N,99.81%,196MiB,1GiB,
2025-07-06 02:14:25.3N,99.45%,186.2MiB,1GiB,
2025-07-06 02:14:27.3N,100.07%,185.8MiB,1GiB,
2025-07-06 02:14:29.3N,99.22%,178.8MiB,1GiB,
2025-07-06 02:14:31.3N,98.33%,180.4MiB,1GiB,
2025-07-06 02:14:33.3N,99.97%,180.4MiB,1GiB,
2025-07-06 02:14:35.3N,99.83%,182.7MiB,1GiB,
2025-07-06 02:14:37.3N,100.02%,182.6MiB,1GiB,
2025-07-06 02:14:39.3N,99.73%,180.5MiB,1GiB,
2025-07-06 02:14:41.3N,98.91%,184.3MiB,1GiB,
2025-07-06 02:14:43.3N,100.29%,180.2MiB,1GiB,
2025-07-06 02:14:45.3N,99.52%,182.4MiB,1GiB,
2025-07-06 02:14:47.3N,100.34%,186MiB,1GiB,
